Table: Ground-state properties of even-even nuclei calculated by the DRHBc theory

Z				Proton number
N				Neutron number
A				Mass number
Eb_cal			(MeV) Binding energy from DRHBc calculations
Ebrot_cal		(MeV) Binding energy plus rotational correction energy from DRHBc calculations, which is suggested to be compared with the experimental value
Eb_exp			(MeV) Binding energy from experimental data
S2n				(MeV) Two-neutron separation energy
S2p				(MeV) Two-proton separation energy
Rn				(fm) Neutron root-mean-square radius
Rp				(fm) Proton root-mean-square radius
Rm				(fm) Matter root-mean-square radius
Rch_cal			(fm) Charge radius from DRHBc calculations
Rch_exp			(fm) Charge radius from experimental data
beta_n			Neutron quadrupole deformation
beta_p			Proton quadrupole deformation
beta_t			Matter quadrupole deformation
lam_n			(MeV) Neutron Fermi surface
lam_p			(MeV) Proton Fermi surface

Note: Unavailable data are shown by ####

Z	A	N	Eb_cal	Ebrot_cal	Eb_exp	S2n	S2p	    Rn	    Rp	    Rm	    Rch_cal	Rch_exp	beta_n	beta_p	beta_t	lam_n	lam_p
80	212	132	1642.82	1642.82	####	6.94	20.05	5.82	5.51	5.71	5.56	####	0.000	0.000	0.000	-3.55	-9.73
80	214	134	1649.80	1651.53	####	6.98	20.15	5.86	5.53	5.74	5.59	####	-0.054	-0.052	-0.054	-3.59	-9.88
80	216	136	1656.81	1658.51	####	7.01	20.33	5.90	5.55	5.77	5.61	####	0.097	0.075	0.089	-3.62	-9.94
80	218	138	1663.82	1665.56	####	7.01	20.70	5.93	5.57	5.80	5.63	####	0.118	0.091	0.108	-3.55	-10.10
80	220	140	1671.08	1672.86	####	7.26	20.99	6.00	5.63	5.87	5.69	####	0.232	0.218	0.227	-3.96	-10.17
80	222	142	1678.98	1680.78	####	7.90	21.49	6.04	5.66	5.91	5.72	####	0.266	0.254	0.262	-3.96	-10.40
80	224	144	1686.80	1688.58	####	7.82	22.07	6.08	5.69	5.95	5.75	####	0.293	0.284	0.290	-3.82	-10.68
80	226	146	1694.14	1696.01	####	7.35	22.71	6.11	5.71	5.97	5.77	####	0.298	0.290	0.295	-3.63	-10.98
80	228	148	1701.22	1703.10	####	7.07	23.35	6.14	5.73	6.00	5.79	####	0.302	0.296	0.300	-3.49	-11.28
80	230	150	1707.95	1709.79	####	6.74	23.95	6.17	5.76	6.03	5.81	####	0.310	0.305	0.308	-3.24	-11.57
80	232	152	1714.09	1716.00	####	6.14	24.47	6.21	5.77	6.06	5.83	####	0.311	0.306	0.309	-3.02	-11.84
80	234	154	1719.93	1721.92	####	5.84	25.03	6.24	5.79	6.09	5.84	####	0.310	0.307	0.309	-2.89	-12.12
80	236	156	1725.51	1727.56	####	5.58	25.69	6.26	5.81	6.11	5.86	####	0.306	0.304	0.306	-2.76	-12.44
80	238	158	1730.86	1732.86	####	5.35	26.44	6.29	5.82	6.14	5.88	####	0.297	0.296	0.296	-2.65	-12.80
80	240	160	1735.95	1737.78	####	5.09	27.20	6.31	5.84	6.16	5.89	####	0.286	0.287	0.286	-2.41	-13.16
80	242	162	1740.37	1742.42	####	4.42	27.77	6.34	5.85	6.18	5.90	####	0.274	0.278	0.275	-2.17	-13.46
80	244	164	1744.54	1746.75	####	4.18	28.29	6.36	5.85	6.20	5.91	####	0.261	0.268	0.263	-2.10	-13.74
80	246	166	1748.78	1750.53	####	4.24	28.93	6.37	5.81	6.19	5.86	####	-0.191	-0.174	-0.185	-2.26	-14.42
80	248	168	1753.16	1754.93	####	4.38	29.81	6.39	5.81	6.21	5.87	####	-0.174	-0.158	-0.169	-2.23	-14.67
80	250	170	1757.50	1759.20	####	4.34	30.49	6.41	5.82	6.23	5.88	####	-0.158	-0.145	-0.154	-2.18	-14.89
80	252	172	1761.70	1763.28	####	4.20	31.04	6.43	5.83	6.25	5.88	####	-0.145	-0.133	-0.141	-2.07	-15.14
80	254	174	1765.61	1767.18	####	3.91	31.68	6.45	5.84	6.27	5.89	####	-0.129	-0.118	-0.125	-1.96	-15.42
80	256	176	1769.42	1771.05	####	3.82	32.30	6.47	5.84	6.28	5.90	####	-0.103	-0.096	-0.101	-2.01	-15.67
80	258	178	1773.43	1774.91	####	4.00	33.03	6.49	5.85	6.30	5.90	####	-0.075	-0.071	-0.074	-2.11	-16.08
80	260	180	1777.79	1777.79	####	4.36	34.14	6.51	5.85	6.32	5.90	####	0.000	0.000	0.000	-2.38	-16.71
80	262	182	1782.52	1782.52	####	4.73	34.70	6.54	5.86	6.34	5.91	####	0.000	0.000	0.000	-2.34	-16.98
80	264	184	1787.20	1787.20	####	4.68	35.26	6.56	5.87	6.36	5.93	####	0.000	0.000	0.000	-1.02	-17.25
80	266	186	1786.38	1786.38	####	-0.82	35.57	6.59	5.88	6.39	5.94	####	0.000	0.000	0.000	0.36	-17.41
82	174	92	1324.91	1324.91	####	22.62	-0.22	5.26	5.28	5.27	5.34	####	0.000	0.000	0.000	-11.28	1.80
82	176	94	1346.97	1346.97	####	22.07	0.67	5.29	5.29	5.29	5.35	####	0.000	0.000	0.000	-10.99	-0.54
82	178	96	1368.46	1368.46	1368.97	21.49	1.52	5.32	5.30	5.31	5.36	####	0.000	0.000	0.000	-10.71	-1.02
82	180	98	1389.37	1389.37	1390.63	20.91	2.28	5.35	5.31	5.33	5.37	####	0.000	0.000	0.000	-10.42	-0.14
82	182	100	1409.74	1409.74	1411.65	20.37	2.61	5.38	5.32	5.35	5.38	5.38	0.000	0.000	0.000	-10.13	-0.70
82	184	102	1429.49	1429.49	1432.02	19.75	2.68	5.41	5.34	5.38	5.39	5.39	0.000	0.000	0.000	-9.85	-0.95
82	186	104	1448.72	1450.77	1451.79	19.23	2.81	5.48	5.39	5.44	5.45	5.40	-0.194	-0.183	-0.189	-9.91	-1.09
82	188	106	1468.07	1470.08	1471.07	19.35	3.99	5.50	5.40	5.46	5.46	5.41	-0.194	-0.183	-0.189	-9.56	-1.61
82	190	108	1486.72	1488.73	1489.81	18.66	5.75	5.53	5.41	5.48	5.47	5.42	-0.189	-0.178	-0.185	-9.25	-2.09
82	192	110	1504.84	1506.81	1508.09	18.11	6.59	5.55	5.42	5.50	5.48	5.43	-0.182	-0.173	-0.178	-9.00	-2.53
82	194	112	1522.48	1524.37	1525.89	17.65	7.33	5.58	5.43	5.52	5.49	5.44	-0.175	-0.167	-0.171	-8.76	-2.96
82	196	114	1539.64	1541.43	1543.17	17.16	8.10	5.60	5.44	5.53	5.50	5.44	-0.168	-0.161	-0.165	-8.49	-3.38
82	198	116	1556.26	1557.95	1560.04	16.62	8.90	5.62	5.45	5.55	5.51	5.45	-0.160	-0.155	-0.158	-8.19	-3.82
82	200	118	1572.95	1572.95	1576.36	16.69	10.32	5.62	5.42	5.54	5.48	5.46	0.000	0.000	0.000	-8.47	-4.71
82	202	120	1589.67	1589.67	1592.19	16.72	12.13	5.64	5.43	5.56	5.49	5.47	0.000	0.000	0.000	-8.34	-5.27
82	204	122	1606.15	1606.15	1607.51	16.48	13.84	5.67	5.44	5.58	5.50	5.48	0.000	0.000	0.000	-8.19	-5.74
82	206	124	1622.34	1622.34	1622.32	16.19	15.41	5.69	5.45	5.60	5.51	5.49	0.000	0.000	0.000	-7.97	-6.24
82	208	126	1637.90	1637.90	1636.43	15.56	16.21	5.72	5.46	5.62	5.52	5.50	0.000	0.000	0.000	-6.32	-6.80
82	210	128	1645.81	1645.81	1645.55	7.91	16.97	5.75	5.48	5.65	5.54	5.52	0.000	0.000	0.000	-4.01	-6.84
82	212	130	1653.59	1653.59	1654.52	7.78	17.72	5.78	5.50	5.68	5.56	5.54	0.000	0.000	0.000	-3.96	-7.27
82	214	132	1661.27	1661.27	1663.29	7.68	18.45	5.82	5.52	5.71	5.58	5.56	0.000	0.000	0.000	-3.92	-7.85
82	216	134	1668.85	1668.85	####	7.58	19.05	5.85	5.54	5.73	5.60	####	0.000	0.000	0.000	-3.88	-8.13
82	218	136	1676.35	1676.35	####	7.49	19.54	5.88	5.56	5.76	5.62	####	0.000	0.000	0.000	-3.83	-8.52
82	220	138	1683.76	1683.76	####	7.41	19.94	5.91	5.58	5.79	5.63	####	0.000	0.000	0.000	-3.79	-8.91
82	222	140	1691.08	1691.08	####	7.33	20.00	5.94	5.60	5.82	5.65	####	0.000	0.000	0.000	-3.74	-9.24
82	224	142	1698.95	1700.75	####	7.87	19.97	6.03	5.68	5.91	5.73	####	0.252	0.234	0.246	-4.20	-9.66
82	226	144	1707.26	1709.05	####	8.31	20.47	6.07	5.71	5.94	5.76	####	0.280	0.265	0.275	-4.10	-9.90
82	228	146	1715.20	1717.03	####	7.93	21.05	6.10	5.73	5.97	5.78	####	0.286	0.273	0.282	-3.92	-10.18
82	230	148	1722.85	1724.70	####	7.65	21.63	6.13	5.75	6.00	5.80	####	0.292	0.281	0.288	-3.77	-10.46
82	232	150	1730.16	1731.94	####	7.31	22.21	6.17	5.77	6.03	5.83	####	0.302	0.293	0.299	-3.52	-10.75
82	234	152	1736.83	1738.74	####	6.67	22.74	6.20	5.79	6.06	5.84	####	0.302	0.294	0.299	-3.29	-11.02
82	236	154	1743.24	1745.27	####	6.41	23.31	6.23	5.80	6.08	5.86	####	0.301	0.294	0.299	-3.19	-11.30
82	238	156	1749.47	1751.55	####	6.23	23.96	6.25	5.82	6.11	5.87	####	0.297	0.290	0.294	-3.10	-11.62
82	240	158	1755.53	1757.53	####	6.06	24.67	6.28	5.83	6.13	5.89	####	0.287	0.281	0.285	-3.01	-11.96
82	242	160	1761.35	1763.13	####	5.82	25.40	6.30	5.85	6.15	5.90	####	0.277	0.273	0.276	-2.74	-12.30
82	244	162	1766.39	1768.46	####	5.04	26.02	6.33	5.86	6.17	5.91	####	0.266	0.265	0.265	-2.46	-12.62
82	246	164	1771.70	1773.37	####	5.31	27.16	6.33	5.82	6.16	5.87	####	-0.198	-0.178	-0.192	-2.73	-13.23
82	248	166	1776.86	1778.55	####	5.16	28.07	6.35	5.83	6.18	5.88	####	-0.190	-0.172	-0.184	-2.55	-13.54
82	250	168	1781.74	1783.47	####	4.89	28.59	6.38	5.84	6.21	5.89	####	-0.177	-0.162	-0.173	-2.46	-13.82
82	252	170	1786.51	1788.21	####	4.77	29.02	6.40	5.85	6.23	5.90	####	-0.164	-0.153	-0.160	-2.41	-14.06
82	254	172	1791.17	1792.78	####	4.65	29.47	6.42	5.86	6.25	5.91	####	-0.151	-0.142	-0.148	-2.32	-14.29
82	256	174	1795.60	1797.12	####	4.43	29.99	6.45	5.87	6.27	5.92	####	-0.139	-0.132	-0.137	-2.19	-14.55
82	258	176	1799.79	1801.35	####	4.19	30.37	6.46	5.87	6.28	5.93	####	-0.118	-0.113	-0.116	-2.17	-14.75
82	260	178	1805.01	1805.01	####	5.21	31.58	6.47	5.84	6.28	5.90	####	0.000	0.000	0.000	-2.68	-15.11
82	262	180	1810.31	1810.31	####	5.30	32.51	6.50	5.86	6.30	5.91	####	0.000	0.000	0.000	-2.65	-15.39
82	264	182	1815.56	1815.56	####	5.25	33.04	6.52	5.87	6.32	5.92	####	0.000	0.000	0.000	-2.61	-15.67
82	266	184	1820.77	1820.77	####	5.21	33.56	6.54	5.88	6.35	5.93	####	0.000	0.000	0.000	-1.23	-15.96
82	268	186	1820.28	1820.28	####	-0.49	33.90	6.58	5.89	6.37	5.95	####	0.000	0.000	0.000	0.19	-16.13
84	186	102	1428.55	1431.06	1431.45	####	-0.94	5.51	5.47	5.49	5.53	####	0.324	0.330	0.327	-10.59	0.29
84	188	104	1449.42	1451.75	1452.24	20.87	0.70	5.53	5.48	5.51	5.53	####	0.312	0.314	0.313	-10.25	-0.15
84	190	106	1469.50	1471.68	1472.40	20.08	1.43	5.52	5.45	5.49	5.50	####	-0.214	-0.209	-0.212	-10.04	-0.31
84	192	108	1489.07	1491.26	1492.04	19.57	2.34	5.55	5.45	5.51	5.51	5.52	-0.206	-0.201	-0.204	-9.68	-0.72
84	194	110	1508.06	1510.23	1511.12	19.00	3.23	5.57	5.46	5.52	5.52	5.52	-0.194	-0.189	-0.192	-9.45	-1.10
84	196	112	1526.66	1528.74	1529.73	18.59	4.18	5.59	5.47	5.54	5.53	5.51	-0.182	-0.179	-0.181	-9.23	-1.51
84	198	114	1544.79	1546.77	1547.88	18.13	5.15	5.62	5.48	5.56	5.54	5.51	-0.173	-0.170	-0.172	-8.97	-1.96
84	200	116	1562.36	1564.24	1565.49	17.57	6.10	5.64	5.49	5.57	5.55	5.52	-0.165	-0.163	-0.164	-8.66	-2.43
84	202	118	1579.37	1580.77	1582.63	17.01	6.42	5.63	5.46	5.56	5.52	5.53	-0.080	-0.070	-0.076	-8.79	-3.05
84	204	120	1596.72	1598.15	1599.17	17.35	7.05	5.65	5.47	5.58	5.53	5.54	-0.056	-0.050	-0.053	-8.69	-3.34
84	206	122	1613.95	1613.95	1615.16	17.23	7.80	5.68	5.48	5.60	5.54	5.55	0.000	0.000	0.000	-8.64	-3.59
84	208	124	1631.01	1631.01	1630.59	17.06	8.67	5.70	5.49	5.61	5.54	5.56	0.000	0.000	0.000	-8.37	-4.01
84	210	126	1647.24	1647.24	1645.21	16.24	9.34	5.73	5.49	5.63	5.55	5.57	0.000	0.000	0.000	-6.75	-4.34
84	212	128	1656.16	1656.16	1655.77	8.92	10.35	5.76	5.52	5.66	5.57	####	0.000	0.000	0.000	-4.51	-4.86
84	214	130	1664.93	1664.93	1666.01	8.77	11.34	5.79	5.54	5.69	5.59	####	0.000	0.000	0.000	-4.45	-5.37
84	216	132	1673.70	1674.87	1675.91	8.77	12.43	5.83	5.56	5.73	5.62	5.64	0.093	0.082	0.089	-4.70	-6.48
84	218	134	1682.81	1684.07	1685.47	9.11	13.95	5.87	5.58	5.76	5.64	5.65	0.114	0.096	0.107	-4.53	-7.13
84	220	136	1691.56	1692.96	1694.71	8.75	15.21	5.90	5.60	5.79	5.66	####	0.127	0.105	0.118	-4.39	-7.68
84	222	138	1700.07	1701.67	1703.63	8.51	16.31	5.94	5.62	5.82	5.68	####	0.147	0.122	0.138	-4.31	-8.20
84	224	140	1708.64	1710.44	####	8.57	17.56	5.98	5.66	5.86	5.72	####	0.198	0.173	0.189	-4.42	-8.62
84	226	142	1717.45	1719.25	####	8.81	18.50	6.02	5.69	5.90	5.75	####	0.236	0.211	0.227	-4.44	-8.89
84	228	144	1726.21	1728.02	####	8.76	18.95	6.06	5.72	5.94	5.78	####	0.266	0.244	0.258	-4.36	-9.14
84	230	146	1734.69	1736.51	####	8.48	19.50	6.10	5.74	5.97	5.80	####	0.276	0.257	0.269	-4.20	-9.42
84	232	148	1742.89	1744.73	####	8.20	20.04	6.13	5.76	6.00	5.82	####	0.284	0.268	0.278	-4.06	-9.70
84	234	150	1750.79	1752.53	####	7.90	20.63	6.16	5.79	6.03	5.84	####	0.296	0.286	0.293	-3.80	-10.00
84	236	152	1757.99	1759.92	####	7.20	21.16	6.19	5.80	6.05	5.86	####	0.295	0.285	0.291	-3.56	-10.27
84	238	154	1764.96	1767.03	####	6.97	21.72	6.22	5.82	6.08	5.87	####	0.293	0.283	0.289	-3.49	-10.55
84	240	156	1771.80	1773.89	####	6.84	22.33	6.24	5.83	6.10	5.89	####	0.286	0.276	0.283	-3.42	-10.84
84	242	158	1778.53	1780.50	####	6.73	23.00	6.27	5.85	6.12	5.90	####	0.276	0.265	0.272	-3.34	-11.16
84	244	160	1785.04	1786.75	####	6.51	23.69	6.29	5.86	6.15	5.91	####	0.267	0.257	0.264	-3.07	-11.48
84	246	162	1790.71	1792.71	####	5.67	24.32	6.32	5.87	6.17	5.92	####	0.255	0.246	0.252	-2.77	-11.80
84	248	164	1796.94	1798.57	####	6.23	25.24	6.33	5.85	6.17	5.90	####	-0.200	-0.183	-0.194	-3.07	-11.93
84	250	166	1802.78	1804.38	####	5.84	25.92	6.35	5.86	6.19	5.91	####	-0.193	-0.177	-0.188	-2.86	-12.26
84	252	168	1808.26	1809.88	####	5.48	26.52	6.37	5.87	6.21	5.92	####	-0.181	-0.168	-0.177	-2.74	-12.56
84	254	170	1813.58	1815.19	####	5.32	27.07	6.40	5.88	6.23	5.93	####	-0.168	-0.159	-0.165	-2.67	-12.86
84	256	172	1818.76	1820.32	####	5.18	27.59	6.42	5.89	6.25	5.94	####	-0.155	-0.149	-0.153	-2.59	-13.16
84	258	174	1823.73	1825.23	####	4.97	28.14	6.44	5.90	6.27	5.95	####	-0.144	-0.139	-0.142	-2.46	-13.49
84	260	176	1828.45	1829.92	####	4.71	28.66	6.46	5.90	6.28	5.96	####	-0.124	-0.118	-0.122	-2.42	-13.88
84	262	178	1833.64	1834.92	####	5.19	28.64	6.47	5.88	6.29	5.94	####	-0.054	-0.044	-0.051	-2.86	-14.10
84	264	180	1839.40	1839.40	####	5.76	29.10	6.49	5.89	6.31	5.94	####	0.000	0.000	0.000	-2.95	-14.22
84	266	182	1845.27	1845.27	####	5.87	29.71	6.51	5.90	6.33	5.95	####	0.000	0.000	0.000	-2.91	-14.50
84	268	184	1851.08	1851.08	####	5.81	30.31	6.54	5.91	6.35	5.96	####	0.000	0.000	0.000	-1.49	-14.77
84	276	192	1851.03	1852.13	####	0.38	32.33	6.68	5.98	6.48	6.03	####	0.116	0.084	0.106	-0.35	-15.99
84	278	194	1851.65	1852.85	####	0.62	33.33	6.72	6.00	6.51	6.05	####	0.138	0.101	0.127	-0.36	-16.27
84	280	196	1852.28	1853.50	####	0.63	33.73	6.75	6.02	6.54	6.07	####	0.159	0.117	0.146	-0.35	-16.49
84	282	198	1852.85	1854.12	####	0.57	34.09	6.79	6.04	6.57	6.10	####	0.175	0.132	0.162	-0.31	-16.70
84	284	200	1853.34	1854.70	####	0.49	34.43	6.82	6.06	6.60	6.12	####	0.189	0.146	0.177	-0.28	-16.89
84	286	202	1853.81	1855.26	####	0.47	34.75	6.85	6.09	6.63	6.14	####	0.205	0.163	0.193	-0.28	-17.06
84	288	204	1854.33	1855.83	####	0.52	35.03	6.88	6.11	6.67	6.16	####	0.225	0.184	0.213	-0.31	-17.20
84	290	206	1854.91	1856.42	####	0.59	35.25	6.91	6.14	6.70	6.19	####	0.244	0.205	0.233	-0.33	-17.33
84	292	208	1855.54	1857.03	####	0.62	35.48	6.95	6.16	6.73	6.21	####	0.261	0.225	0.251	-0.34	-17.46
84	294	210	1856.14	1857.60	####	0.61	35.73	6.98	6.18	6.76	6.24	####	0.276	0.242	0.266	-0.31	-17.60
84	296	212	1856.65	1858.11	####	0.51	36.02	7.01	6.21	6.79	6.26	####	0.285	0.255	0.276	-0.24	-17.75
84	298	214	1857.01	1858.51	####	0.36	36.33	7.04	6.23	6.82	6.28	####	0.289	0.263	0.282	-0.17	-17.91
84	300	216	1857.25	1858.79	####	0.24	36.63	7.07	6.24	6.85	6.29	####	0.290	0.267	0.283	-0.12	-18.06
84	302	218	1857.43	1858.97	####	0.18	36.78	7.11	6.21	6.87	6.26	####	-0.237	-0.210	-0.230	-0.22	-18.04
84	304	220	1857.77	1859.30	####	0.34	37.15	7.13	6.22	6.89	6.27	####	-0.236	-0.208	-0.228	-0.18	-18.22
84	306	222	1858.02	1859.52	####	0.26	37.51	7.16	6.23	6.92	6.28	####	-0.234	-0.205	-0.226	-0.13	-18.39
84	308	224	1858.17	1859.61	####	0.15	37.87	7.19	6.25	6.94	6.30	####	-0.231	-0.203	-0.224	-0.07	-18.56
84	310	226	1858.17	1859.57	####	0.00	38.24	7.21	6.26	6.97	6.31	####	-0.227	-0.200	-0.220	0.02	-18.74
86	192	106	1469.37	1471.81	####	20.27	-0.13	5.63	5.59	5.61	5.65	####	0.415	0.440	0.426	-10.01	-0.09
86	194	108	1489.71	1491.32	1492.83	20.33	0.64	5.54	5.46	5.50	5.52	####	0.175	0.155	0.166	-10.18	-0.39
86	196	110	1509.63	1511.16	1512.72	19.92	1.57	5.56	5.47	5.52	5.53	####	0.162	0.145	0.155	-9.89	-0.84
86	198	112	1529.02	1530.54	1532.07	19.39	2.36	5.58	5.47	5.54	5.53	####	0.149	0.135	0.143	-9.65	-1.28
86	200	114	1547.97	1549.52	1550.98	18.96	3.18	5.60	5.48	5.55	5.54	####	0.136	0.124	0.131	-9.44	-1.70
86	202	116	1566.55	1568.13	1569.40	18.57	4.19	5.63	5.49	5.57	5.55	5.55	0.122	0.111	0.117	-9.24	-2.09
86	204	118	1584.72	1586.27	1587.24	18.17	5.35	5.65	5.50	5.58	5.56	5.56	0.102	0.094	0.099	-9.04	-2.42
86	206	120	1602.68	1604.18	1604.54	17.96	5.96	5.67	5.51	5.60	5.56	5.56	-0.080	-0.074	-0.077	-9.03	-2.56
86	208	122	1620.56	1621.96	1621.21	17.88	6.61	5.69	5.51	5.62	5.57	5.57	-0.056	-0.053	-0.055	-8.93	-2.97
86	210	124	1638.24	1638.24	1637.30	17.68	7.23	5.71	5.52	5.63	5.58	5.58	-0.040	-0.038	-0.039	-8.60	-3.35
86	212	126	1655.12	1655.12	1652.50	16.88	7.88	5.73	5.53	5.65	5.59	5.59	0.000	0.000	0.000	-7.00	-3.63
86	214	128	1665.08	1665.08	1664.30	9.96	8.92	5.77	5.55	5.68	5.61	####	0.000	0.000	0.000	-5.02	-4.17
86	216	130	1674.96	1676.26	1675.87	9.88	10.03	5.80	5.58	5.71	5.63	####	0.059	0.063	0.060	-5.21	-4.82
86	218	132	1685.54	1686.80	1687.05	10.58	11.84	5.84	5.60	5.75	5.65	5.65	0.107	0.104	0.106	-5.30	-5.34
86	220	134	1695.86	1697.20	1697.80	10.33	13.06	5.88	5.62	5.78	5.67	5.67	0.130	0.120	0.126	-5.13	-5.87
86	222	136	1705.82	1707.24	1708.18	9.95	14.26	5.91	5.64	5.81	5.69	5.69	0.148	0.133	0.142	-4.96	-6.42
86	224	138	1715.48	1717.02	1718.25	9.66	15.41	5.94	5.66	5.84	5.71	####	0.167	0.147	0.160	-4.84	-6.96
86	226	140	1724.93	1726.63	1728.09	9.46	16.29	5.98	5.68	5.87	5.73	####	0.191	0.165	0.181	-4.75	-7.48
86	228	142	1734.30	1736.09	1737.74	9.36	16.84	6.02	5.71	5.90	5.76	####	0.227	0.200	0.217	-4.72	-7.94
86	230	144	1743.64	1745.43	####	9.34	17.43	6.06	5.74	5.94	5.80	####	0.264	0.243	0.256	-4.67	-8.35
86	232	146	1752.70	1754.52	####	9.06	18.01	6.09	5.76	5.97	5.82	####	0.272	0.254	0.265	-4.49	-8.67
86	234	148	1761.48	1763.33	####	8.78	18.58	6.12	5.78	6.00	5.84	####	0.280	0.264	0.274	-4.35	-8.98
86	236	150	1770.00	1771.69	####	8.52	19.20	6.16	5.81	6.03	5.86	####	0.294	0.284	0.290	-4.08	-9.30
86	238	152	1777.71	1779.65	####	7.72	19.72	6.18	5.82	6.06	5.88	####	0.289	0.278	0.285	-3.83	-9.56
86	240	154	1785.22	1787.29	####	7.51	20.26	6.21	5.83	6.08	5.89	####	0.284	0.271	0.279	-3.77	-9.83
86	242	156	1792.64	1794.70	####	7.42	20.83	6.23	5.85	6.10	5.90	####	0.273	0.259	0.268	-3.72	-10.12
86	244	158	1799.98	1801.90	####	7.35	21.45	6.26	5.86	6.12	5.91	####	0.264	0.247	0.258	-3.66	-10.41
86	246	160	1807.11	1808.76	####	7.13	22.07	6.28	5.87	6.14	5.92	####	0.256	0.240	0.250	-3.39	-10.70
86	248	162	1813.44	1815.34	####	6.33	22.73	6.30	5.88	6.16	5.93	####	0.241	0.225	0.235	-3.09	-11.03
86	250	164	1819.51	1821.29	####	6.07	22.57	6.32	5.88	6.17	5.93	####	-0.203	-0.189	-0.198	-3.36	-10.87
86	252	166	1825.97	1827.69	####	6.46	23.19	6.35	5.89	6.19	5.94	####	-0.196	-0.182	-0.191	-3.16	-11.16
86	254	168	1832.05	1833.79	####	6.07	23.78	6.37	5.90	6.21	5.95	####	-0.183	-0.170	-0.178	-3.03	-11.45
86	256	170	1837.96	1839.69	####	5.91	24.38	6.39	5.90	6.23	5.96	####	-0.166	-0.155	-0.162	-2.99	-11.75
86	258	172	1843.81	1845.46	####	5.85	25.05	6.41	5.91	6.25	5.96	####	-0.149	-0.138	-0.145	-2.96	-12.13
86	260	174	1849.59	1851.09	####	5.78	25.85	6.43	5.91	6.26	5.97	####	-0.129	-0.116	-0.125	-2.94	-12.64
86	262	176	1855.35	1856.72	####	5.76	26.90	6.44	5.91	6.27	5.96	####	-0.102	-0.088	-0.097	-2.97	-13.15
86	264	178	1861.24	1862.55	####	5.89	27.60	6.46	5.92	6.29	5.97	####	-0.074	-0.063	-0.070	-3.03	-13.44
86	266	180	1867.29	1867.29	####	6.05	27.89	6.48	5.92	6.31	5.98	####	-0.048	-0.041	-0.046	-3.08	-13.66
86	268	182	1873.55	1873.55	####	6.26	28.28	6.51	5.93	6.33	5.98	####	0.000	0.000	0.000	-3.16	-13.84
86	270	184	1879.83	1879.83	####	6.28	28.75	6.53	5.94	6.35	5.99	####	0.000	0.000	0.000	-1.75	-14.06
86	272	186	1880.13	1880.13	####	0.29	29.17	6.56	5.95	6.38	6.01	####	0.000	0.000	0.000	-0.20	-14.28
86	274	188	1880.40	1880.40	####	0.28	29.60	6.59	5.97	6.40	6.02	####	0.000	0.000	0.000	-0.20	-14.51
86	276	190	1880.82	1881.87	####	0.42	30.17	6.64	5.99	6.44	6.04	####	0.094	0.078	0.089	-0.64	-14.77
86	278	192	1882.08	1883.19	####	1.26	31.05	6.67	6.01	6.47	6.06	####	0.120	0.098	0.113	-0.65	-15.03
86	280	194	1883.28	1884.47	####	1.20	31.63	6.70	6.03	6.50	6.08	####	0.140	0.111	0.131	-0.63	-15.30
86	282	196	1884.42	1885.63	####	1.13	32.14	6.74	6.05	6.53	6.10	####	0.158	0.123	0.147	-0.58	-15.55
86	284	198	1885.42	1886.69	####	1.01	32.57	6.77	6.06	6.56	6.12	####	0.172	0.132	0.160	-0.52	-15.79
86	286	200	1886.30	1887.65	####	0.88	32.96	6.80	6.08	6.59	6.13	####	0.184	0.142	0.172	-0.47	-16.01
86	288	202	1887.12	1888.55	####	0.82	33.31	6.83	6.10	6.62	6.15	####	0.198	0.154	0.185	-0.46	-16.23
86	290	204	1887.94	1889.43	####	0.82	33.62	6.86	6.13	6.65	6.18	####	0.215	0.171	0.202	-0.47	-16.43
86	292	206	1888.82	1890.33	####	0.88	33.91	6.89	6.15	6.68	6.20	####	0.235	0.193	0.223	-0.49	-16.62
86	294	208	1889.74	1891.24	####	0.92	34.21	6.93	6.18	6.72	6.23	####	0.254	0.214	0.242	-0.49	-16.80
86	296	210	1890.65	1892.11	####	0.91	34.51	6.96	6.20	6.75	6.25	####	0.268	0.232	0.258	-0.46	-16.98
86	298	212	1891.48	1892.93	####	0.82	34.83	6.99	6.22	6.78	6.27	####	0.278	0.245	0.268	-0.40	-17.15
86	300	214	1892.16	1893.63	####	0.69	35.15	7.02	6.24	6.80	6.29	####	0.282	0.253	0.274	-0.33	-17.32
86	302	216	1892.71	1894.19	####	0.55	35.46	7.04	6.26	6.83	6.31	####	0.283	0.255	0.275	-0.27	-17.47
86	304	218	1893.14	1894.67	####	0.43	35.71	7.07	6.27	6.86	6.32	####	0.282	0.256	0.275	-0.22	-17.61
86	306	220	1893.48	1895.04	####	0.34	35.71	7.10	6.29	6.88	6.34	####	0.281	0.257	0.274	-0.18	-17.74
86	308	222	1893.96	1895.50	####	0.48	35.94	7.14	6.27	6.91	6.32	####	-0.236	-0.213	-0.230	-0.29	-17.64
86	310	224	1894.44	1895.92	####	0.48	36.26	7.17	6.28	6.93	6.33	####	-0.233	-0.209	-0.227	-0.23	-17.79
86	312	226	1894.77	1896.20	####	0.33	36.60	7.19	6.29	6.95	6.34	####	-0.230	-0.205	-0.223	-0.15	-17.95
86	314	228	1894.93	1896.37	####	0.16	36.92	7.22	6.30	6.98	6.35	####	-0.223	-0.199	-0.216	-0.08	-18.09
